n test inserts deletes updates time
1 t10 1000 933 3849 30
1 t11 1000 992 3929 30
1 t12 1000 739 3895 30
1 t13 1000 291 3416 24
1 t14 1000 393 3806 26
1 t15 1000 374 3704 27
1 t16 1000 651 4016 32
1 t17 1000 635 4059 32
1 t18 1000 66 2459 16
1 t19 1000 600 4092 30
1 t1 1000 326 2810 20
1 t20 1000 389 3919 28
1 t2 1000 557 3296 25
1 t3 1000 384 3099 22
1 t4 1000 875 3498 27
1 t5 1000 382 3229 23
1 t6 1000 858 3728 28
1 t7 1000 747 3732 28
1 t8 1000 258 3111 23
1 t9 1000 809 3762 29
2 t10 1000 942 3858 9
2 t11 1000 993 3948 9
2 t12 1000 729 3858 9
2 t13 1000 309 3428 7
2 t14 1000 383 3802 8
2 t15 1000 384 3744 8
2 t16 1000 645 4007 9
2 t17 1000 641 4066 9
2 t18 1000 72 2544 5
2 t19 1000 599 4104 9
2 t1 1000 326 2803 5
2 t20 1000 432 4044 9
2 t2 1000 551 3296 7
2 t3 1000 392 3108 6
2 t4 1000 867 3489 7
2 t5 1000 372 3220 6
2 t6 1000 858 3724 8
2 t7 1000 749 3726 8
2 t8 1000 262 3126 6
2 t9 1000 792 3742 8
3 t10 1000 935 3817 8
3 t11 1000 992 3964 9
3 t12 1000 738 3895 9
3 t13 1000 271 3343 7
3 t14 1000 415 3855 8
3 t15 1000 330 3628 7
3 t16 1000 674 4047 9
3 t17 1000 650 4076 9
3 t18 1000 51 2219 4
3 t19 1000 627 4103 9
3 t1 1000 310 2772 5
3 t20 1000 375 3925 8
3 t2 1000 556 3301 6
3 t3 1000 399 3119 6
3 t4 1000 861 3519 7
3 t5 1000 360 3181 6
3 t6 1000 863 3704 7
3 t7 1000 752 3733 7
3 t8 1000 270 3131 6
3 t9 1000 788 3743 8
4 t10 1000 940 3850 8
4 t11 1000 992 3949 8
4 t12 1000 739 3879 8
4 t13 1000 274 3344 6
4 t14 1000 415 3857 7
4 t15 1000 332 3611 7
4 t16 1000 649 4007 8
4 t17 1000 647 4072 8
4 t18 1000 67 2486 4
4 t19 1000 587 4080 8
4 t1 1000 312 2776 5
4 t20 1000 384 3933 8
4 t2 1000 528 3252 6
4 t3 1000 372 3076 5
4 t4 1000 865 3517 7
4 t5 1000 377 3209 6
4 t6 1000 859 3733 7
4 t7 1000 730 3734 7
4 t8 1000 268 3146 6
4 t9 1000 791 3732 7
5 t10 1000 936 3870 8
5 t11 1000 992 3904 8
5 t12 1000 726 3893 8
5 t13 1000 288 3428 6
5 t14 1000 380 3779 7
5 t15 1000 362 3685 7
5 t16 1000 641 3987 8
5 t17 1000 662 4095 8
5 t18 1000 53 2227 4
5 t19 1000 611 4101 8
5 t1 1000 325 2832 5
5 t20 1000 424 3964 8
5 t2 1000 550 3293 6
5 t3 1000 371 3099 5
5 t4 1000 865 3514 7
5 t5 1000 371 3191 6
5 t6 1000 860 3708 7
5 t7 1000 744 3735 7
5 t8 1000 256 3120 6
5 t9 1000 797 3759 7
6 t10 1000 934 3852 8
6 t11 1000 993 3917 8
6 t12 1000 719 3887 8
6 t13 1000 282 3399 6
6 t14 1000 365 3760 7
6 t15 1000 339 3644 7
6 t16 1000 679 4024 8
6 t17 1000 622 4053 8
6 t18 1000 48 2125 4
6 t19 1000 628 4120 8
6 t1 1000 316 2787 5
6 t20 1000 392 3923 7
6 t2 1000 557 3307 6
6 t3 1000 376 3084 5
6 t4 1000 861 3499 6
6 t5 1000 366 3193 6
6 t6 1000 855 3729 7
6 t7 1000 750 3737 7
6 t8 1000 263 3131 5
6 t9 1000 785 3752 7
7 t10 1000 937 3852 8
7 t11 1000 993 3935 8
7 t12 1000 714 3891 7
7 t13 1000 265 3363 6
7 t14 1000 411 3835 7
7 t15 1000 333 3604 7
7 t16 1000 616 3982 8
7 t17 1000 631 4083 8
7 t18 1000 77 2616 5
7 t19 1000 605 4066 8
7 t1 1000 307 2753 4
7 t20 1000 374 3914 7
7 t2 1000 523 3250 5
7 t3 1000 400 3119 5
7 t4 1000 863 3518 7
7 t5 1000 370 3181 5
7 t6 1000 860 3730 7
7 t7 1000 733 3733 7
7 t8 1000 268 3139 5
7 t9 1000 808 3746 7
8 t10 1000 933 3865 8
8 t11 1000 993 3925 8
8 t12 1000 724 3840 7
8 t13 1000 305 3455 6
8 t14 1000 398 3809 7
8 t15 1000 374 3727 7
8 t16 1000 676 4030 8
8 t17 1000 623 4061 8
8 t18 1000 66 2454 4
8 t19 1000 636 4095 8
8 t1 1000 327 2809 5
8 t20 1000 434 3989 8
8 t2 1000 553 3307 5
8 t3 1000 392 3093 5
8 t4 1000 868 3497 6
8 t5 1000 370 3197 5
8 t6 1000 857 3710 7
8 t7 1000 749 3731 7
8 t8 1000 262 3137 5
8 t9 1000 804 3750 7
9 t10 1000 935 3873 8
9 t11 1000 992 3930 8
9 t12 1000 733 3875 7
9 t13 1000 294 3430 6
9 t14 1000 384 3795 7
9 t15 1000 366 3699 7
9 t16 1000 642 4004 8
9 t17 1000 636 4077 8
9 t18 1000 60 2351 4
9 t19 1000 622 4074 8
9 t1 1000 325 2822 5
9 t20 1000 420 3963 7
9 t2 1000 549 3297 5
9 t3 1000 370 3090 5
9 t4 1000 864 3507 6
9 t5 1000 370 3177 5
9 t6 1000 865 3723 7
9 t7 1000 749 3741 7
9 t8 1000 257 3120 5
9 t9 1000 799 3789 7
10 t10 1000 943 3846 7
10 t11 1000 992 3931 8
10 t12 1000 730 3894 7
10 t13 1000 291 3408 6
10 t14 1000 380 3816 7
10 t15 1000 363 3710 7
10 t16 1000 652 4047 8
10 t17 1000 624 4082 8
10 t18 1000 64 2423 4
10 t19 1000 621 4110 8
10 t1 1000 323 2814 5
10 t20 1000 415 3961 7
10 t2 1000 559 3314 5
10 t3 1000 392 3108 5
10 t4 1000 861 3512 6
10 t5 1000 372 3199 5
10 t6 1000 861 3716 7
10 t7 1000 733 3738 7
10 t8 1000 270 3151 5
10 t9 1000 809 3771 7
11 t10 1000 934 3844 8
11 t11 1000 992 3924 8
11 t12 1000 726 3911 7
11 t13 1000 291 3416 6
11 t14 1000 381 3813 7
11 t15 1000 359 3688 7
11 t16 1000 630 4020 8
11 t17 1000 622 4066 8
11 t18 1000 68 2491 4
11 t19 1000 639 4091 8
11 t1 1000 322 2806 5
11 t20 1000 405 3968 7
11 t2 1000 559 3317 5
11 t3 1000 387 3100 5
11 t4 1000 867 3506 6
11 t5 1000 372 3214 5
11 t6 1000 860 3708 7
11 t7 1000 742 3746 7
11 t8 1000 272 3148 5
11 t9 1000 800 3775 7
12 t10 1000 937 3841 7
12 t11 1000 993 3946 8
12 t12 1000 736 3892 7
12 t13 1000 289 3415 6
12 t14 1000 377 3800 7
12 t15 1000 349 3675 6
12 t16 1000 638 4006 8
12 t17 1000 625 4063 8
12 t18 1000 69 2516 4
12 t19 1000 596 4090 8
12 t1 1000 322 2816 4
12 t20 1000 407 3968 7
12 t2 1000 555 3302 5
12 t3 1000 388 3103 5
12 t4 1000 861 3505 6
